Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Walthamstow),"1, Palace Parade, High Street, Walthamstow, London, E17 7BU",Walthamstow Queens Road,E17 7BU,51.5841597,-0.0240516
Greggs (Wandsworth),"The Wandsworth Shopping Centre, Wandsworth High Street, Wandsworth, London, SW18 4TG",Wandsworth Town,SW18 4TG,51.4547309,-0.1938402
Greggs (Wanstead),"85 High Street Wanstead, Wanstead, London, E11 2AE",Wanstead,E11 2AE,51.5782927,0.0262576
Greggs (Watford),"41 Lower High Street, Watford, Watford, WD17 2DJ",Watford High Street,WD17 2DJ,51.6554685,-0.3959959
Greggs (Watford),"114C High Street, Watford, Watford, WD17 2BJ",Watford High Street,WD17 2BJ,51.6542324,-0.394549
Greggs (Watford),"The Parade, 5 High Street, Watford, Watford, WD17 1LQ",Watford High Street,WD17 1LQ,51.6570716,-0.3983668
Greggs (Town Centre),"North Orbital Road, Town Centre, Watford, WD25 7LW",Watford Junction,WD25 7LW,51.6920746,-0.3981569
Greggs (Wembley),"504 High Road, Wembley, Wembley, HA9 7BH",Wembley Central,HA9 7BH,51.5532607,-0.2953114
Greggs (West Croydon),"10 London Road, West Croydon, Croydon, CR0 2TA",West Croydon,CR0 2TA,51.3788296,-0.1030356
Greggs (Hanwell),"77 Broadway, Hanwell, London, W13 9BP",West Ealing,W13 9BP,51.5099361,-0.3244942
Greggs (Norwood),"324 Norwood Road, Norwood, London, SE27 9AF",West Norwood,SE27 9AF,51.4351409,-0.1042219
